# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
	🏇🏿;corrida de cavalos: pele escura;cavalo|cavalo de corrida|corrida|corrida de cavalos|corrida de cavalos: pele escura|esporte|jóquei|pele escura
⛷️;esquiador;esqui|esquiador|neve
🏂;praticante de snowboard;esporte|praticante de snowboard|snowboard
	🏂🏻;praticante de snowboard: pele clara;esporte|pele clara|praticante de snowboard|praticante de snowboard: pele clara|snowboard
	🏂🏼;praticante de snowboard: pele morena clara;esporte|pele morena clara|praticante de snowboard|praticante de snowboard: pele morena clara|snowboard
	🏂🏽;praticante de snowboard: pele morena;esporte|pele morena|praticante de snowboard|praticante de snowboard: pele morena|snowboard
	🏂🏾;praticante de snowboard: pele morena escura;esporte|pele morena escura|praticante de snowboard|praticante de snowboard: pele morena escura|snowboard
	🏂🏿;praticante de snowboard: pele escura;esporte|pele escura|praticante de snowboard|praticante de snowboard: pele escura|snowboard
🏌️;golfista;bola|esporte|golfe|golfista|pessoa jogando golfe
	🏌🏻;golfista: pele clara;bola|esporte|golfe|golfista|golfista: pele clara|pele clara|pessoa jogando golfe
	🏌🏼;golfista: pele morena clara;bola|esporte|golfe|golfista|golfista: pele morena clara|pele morena clara|pessoa jogando golfe
	🏌🏽;golfista: pele morena;bola|esporte|golfe|golfista|golfista: pele morena|pele morena|pessoa jogando golfe
	🏌🏾;golfista: pele morena escura;bola|esporte|golfe|golfista|golfista: pele morena escura|pele morena escura|pessoa jogando golfe
	🏌🏿;golfista: pele escura;bola|esporte|golfe|golfista|golfista: pele escura|pele escura|pessoa jogando golfe
🏌️‍♂️;homem golfista;golfe|homem|homem golfista|homem jogando golfe
	🏌🏻‍♂️;homem golfista: pele clara;golfe|homem|homem golfista|homem golfista: pele clara|homem jogando golfe|pele clara
	🏌🏼‍♂️;homem golfista: pele morena clara;golfe|homem|homem golfista|homem golfista: pele morena clara|homem jogando golfe|pele morena clara
	🏌🏽‍♂️;homem golfista: pele morena;golfe|homem|homem golfista|homem golfista: pele morena|homem jogando golfe|pele morena
	🏌🏾‍♂️;homem golfista: pele morena escura;golfe|homem|homem golfista|homem golfista: pele morena escura|homem jogando golfe|pele morena escura
	🏌🏿‍♂️;homem golfista: pele escura;golfe|homem|homem golfista|homem golfista: pele escura|homem jogando golfe|pele escura
🏌️‍♀️;mulher golfista;golfe|mulher|mulher golfista|mulher jogando golfe
	🏌🏻‍♀️;mulher golfista: pele clara;golfe|mulher|mulher golfista|mulher golfista: pele clara|mulher jogando golfe|pele clara
	🏌🏼‍♀️;mulher golfista: pele morena clara;golfe|mulher|mulher golfista|mulher golfista: pele morena clara|mulher jogando golfe|pele morena clara
	🏌🏽‍♀️;mulher golfista: pele morena;golfe|mulher|mulher golfista|mulher golfista: pele morena|mulher jogando golfe|pele morena
	🏌🏾‍♀️;mulher golfista: pele morena escura;golfe|mulher|mulher golfista|mulher golfista: pele morena escura|mulher jogando golfe|pele morena escura
	🏌🏿‍♀️;mulher golfista: pele escura;golfe|mulher|mulher golfista|mulher golfista: pele escura|mulher jogando golfe|pele escura
🏄;surfista;pessoa surfando|surfe|surfista
	🏄🏻;surfista: pele clara;pele clara|pessoa surfando|surfe|surfista|surfista: pele clara
	🏄🏼;surfista: pele morena clara;pele morena clara|pessoa surfando|surfe|surfista|surfista: pele morena clara
	🏄🏽;surfista: pele morena;pele morena|pessoa surfando|surfe|surfista|surfista: pele morena
	🏄🏾;surfista: pele morena escura;pele morena escura|pessoa surfando|surfe|surfista|surfista: pele morena escura
	🏄🏿;surfista: pele escura;pele escura|pessoa surfando|surfe|surfista|surfista: pele escura
🏄‍♂️;homem surfista;homem|homem surfista|surfando
	🏄🏻‍♂️;homem surfista: pele clara;homem|homem surfista|homem surfista: pele clara|pele clara|surfando
	🏄🏼‍♂️;homem surfista: pele morena clara;homem|homem surfista|homem surfista: pele morena clara|pele morena clara|surfando
	🏄🏽‍♂️;homem surfista: pele morena;homem|homem surfista|homem surfista: pele morena|pele morena|surfando
	🏄🏾‍♂️;homem surfista: pele morena escura;homem|homem surfista|homem surfista: pele morena escura|pele morena escura|surfando
	🏄🏿‍♂️;homem surfista: pele escura;homem|homem surfista|homem surfista: pele escura|pele escura|surfando
🏄‍♀️;mulher surfista;mulher|mulher surfista|surfando
	🏄🏻‍♀️;mulher surfista: pele clara;mulher|mulher surfista|mulher surfista: pele clara|pele clara|surfando
	🏄🏼‍♀️;mulher surfista: pele morena clara;mulher|mulher surfista|mulher surfista: pele morena clara|pele morena clara|surfando
	🏄🏽‍♀️;mulher surfista: pele morena;mulher|mulher surfista|mulher surfista: pele morena|pele morena|surfando
	🏄🏾‍♀️;mulher surfista: pele morena escura;mulher|mulher surfista|mulher surfista: pele morena escura|pele morena escura|surfando
	🏄🏿‍♀️;mulher surfista: pele escura;mulher|mulher surfista|mulher surfista: pele escura|pele escura|surfando
🚣;pessoa remando;barco|barco a remo|pessoa remando|veículo
	🚣🏻;pessoa remando: pele clara;barco|barco a remo|pele clara|pessoa remando|pessoa remando: pele clara|veículo
	🚣🏼;pessoa remando: pele morena clara;barco|barco a remo|pele morena clara|pessoa remando|pessoa remando: pele morena clara|veículo
	🚣🏽;pessoa remando: pele morena;barco|barco a remo|pele morena|pessoa remando|pessoa remando: pele morena|veículo
	🚣🏾;pessoa remando: pele morena escura;barco|barco a remo|pele morena escura|pessoa remando|pessoa remando: pele morena escura|veículo
	🚣🏿;pessoa remando: pele escura;barco|barco a remo|pele escura|pessoa remando|pessoa remando: pele escura|veículo
🚣‍♂️;homem remando;esporte|homem|homem remando|remador|remo
	🚣🏻‍♂️;homem remando: pele clara;esporte|homem|homem remando|homem remando: pele clara|pele clara|remador|remo
	🚣🏼‍♂️;homem remando: pele morena clara;esporte|homem|homem remando|homem remando: pele morena clara|pele morena clara|remador|remo
	🚣🏽‍♂️;homem remando: pele morena;esporte|homem|homem remando|homem remando: pele morena|pele morena|remador|remo
	🚣🏾‍♂️;homem remando: pele morena escura;esporte|homem|homem remando|homem remando: pele morena escura|pele morena escura|remador|remo
	🚣🏿‍♂️;homem remando: pele escura;esporte|homem|homem remando|homem remando: pele escura|pele escura|remador|remo
🚣‍♀️;mulher remando;esporte|mulher|mulher remando|remadora|remo
	🚣🏻‍♀️;mulher remando: pele clara;esporte|mulher|mulher remando|mulher remando: pele clara|pele clara|remadora|remo
	🚣🏼‍♀️;mulher remando: pele morena clara;esporte|mulher|mulher remando|mulher remando: pele morena clara|pele morena clara|remadora|remo
	🚣🏽‍♀️;mulher remando: pele morena;esporte|mulher|mulher remando|mulher remando: pele morena|pele morena|remadora|remo
	🚣🏾‍♀️;mulher remando: pele morena escura;esporte|mulher|mulher remando|mulher remando: pele morena escura|pele morena escura|remadora|remo
	🚣🏿‍♀️;mulher remando: pele escura;esporte|mulher|mulher remando|mulher remando: pele escura|pele escura|remadora|remo
🏊;pessoa nadando;esporte|nadar|pessoa nadando
	🏊🏻;pessoa nadando: pele clara;esporte|nadar|pele clara|pessoa nadando|pessoa nadando: pele clara
	🏊🏼;pessoa nadando: pele morena clara;esporte|nadar|pele morena clara|pessoa nadando|pessoa nadando: pele morena clara
	🏊🏽;pessoa nadando: pele morena;esporte|nadar|pele morena|pessoa nadando|pessoa nadando: pele morena
	🏊🏾;pessoa nadando: pele morena escura;esporte|nadar|pele morena escura|pessoa nadando|pessoa nadando: pele morena escura
	🏊🏿;pessoa nadando: pele escura;esporte|nadar|pele escura|pessoa nadando|pessoa nadando: pele escura
🏊‍♂️;homem nadando;homem|homem nadando|nadar|natação
	🏊🏻‍♂️;homem nadando: pele clara;homem|homem nadando|homem nadando: pele clara|nadar|natação|pele clara
	🏊🏼‍♂️;homem nadando: pele morena clara;homem|homem nadando|homem nadando: pele morena clara|nadar|natação|pele morena clara
	🏊🏽‍♂️;homem nadando: pele morena;homem|homem nadando|homem nadando: pele morena|nadar|natação|pele morena
	🏊🏾‍♂️;homem nadando: pele morena escura;homem|homem nadando|homem nadando: pele morena escura|nadar|natação|pele morena escura
	🏊🏿‍♂️;homem nadando: pele escura;homem|homem nadando|homem nadando: pele escura|nadar|natação|pele escura
🏊‍♀️;mulher nadando;mulher|mulher nadando|nadar|natação
	🏊🏻‍♀️;mulher nadando: pele clara;mulher|mulher nadando|mulher nadando: pele clara|nadar|natação|pele clara
	🏊🏼‍♀️;mulher nadando: pele morena clara;mulher|mulher nadando|mulher nadando: pele morena clara|nadar|natação|pele morena clara
	🏊🏽‍♀️;mulher nadando: pele morena;mulher|mulher nadando|mulher nadando: pele morena|nadar|natação|pele morena
	🏊🏾‍♀️;mulher nadando: pele morena escura;mulher|mulher nadando|mulher nadando: pele morena escura|nadar|natação|pele morena escura
	🏊🏿‍♀️;mulher nadando: pele escura;mulher|mulher nadando|mulher nadando: pele escura|nadar|natação|pele escura
⛹️;pessoa jogando basquete;basquete|bola|esporte|pessoa jogando basquete
	⛹🏻;pessoa jogando basquete: pele clara;basquete|bola|esporte|pele clara|pessoa jogando basquete|pessoa jogando basquete: pele clara
	⛹🏼;pessoa jogando basquete: pele morena clara;basquete|bola|esporte|pele morena clara|pessoa jogando basquete|pessoa jogando basquete: pele morena clara
	⛹🏽;pessoa jogando basquete: pele morena;basquete|bola|esporte|pele morena|pessoa jogando basquete|pessoa jogando basquete: pele morena
	⛹🏾;pessoa jogando basquete: pele morena escura;basquete|bola|esporte|pele morena escura|pessoa jogando basquete|pessoa jogando basquete: pele morena escura
	⛹🏿;pessoa jogando basquete: pele escura;basquete|bola|esporte|pele escura|pessoa jogando basquete|pessoa jogando basquete: pele escura
⛹️‍♂️;homem jogando basquete;basquete|bola|esporte|homem|homem jogando basquete
	⛹🏻‍♂️;homem jogando basquete: pele clara;basquete|bola|esporte|homem|homem jogando basquete|homem jogando basquete: pele clara|pele clara
	⛹🏼‍♂️;homem jogando basquete: pele morena clara;basquete|bola|esporte|homem|homem jogando basquete|homem jogando basquete: pele morena clara|pele morena clara
	⛹🏽‍♂️;homem jogando basquete: pele morena;basquete|bola|esporte|homem|homem jogando basquete|homem jogando basquete: pele morena|pele morena
	⛹🏾‍♂️;homem jogando basquete: pele morena escura;basquete|bola|esporte|homem|homem jogando basquete|homem jogando basquete: pele morena escura|pele morena escura
	⛹🏿‍♂️;homem jogando basquete: pele escura;basquete|bola|esporte|homem|homem jogando basquete|homem jogando basquete: pele escura|pele escura
⛹️‍♀️;mulher jogando basquete;basquete|bola|esporte|mulher|mulher jogando basquete
	⛹🏻‍♀️;mulher jogando basquete: pele clara;basquete|bola|esporte|mulher|mulher jogando basquete|mulher jogando basquete: pele clara|pele clara
	⛹🏼‍♀️;mulher jogando basquete: pele morena clara;basquete|bola|esporte|mulher|mulher jogando basquete|mulher jogando basquete: pele morena clara|pele morena clara
	⛹🏽‍♀️;mulher jogando basquete: pele morena;basquete|bola|esporte|mulher|mulher jogando basquete|mulher jogando basquete: pele morena|pele morena
	⛹🏾‍♀️;mulher jogando basquete: pele morena escura;basquete|bola|esporte|mulher|mulher jogando basquete|mulher jogando basquete: pele morena escura|pele morena escura
	⛹🏿‍♀️;mulher jogando basquete: pele escura;basquete|bola|esporte|mulher|mulher jogando basquete|mulher jogando basquete: pele escura|pele escura
🏋️;pessoa levantando peso;esporte|força|peso|pessoa levantando peso
	🏋🏻;pessoa levantando peso: pele clara;esporte|força|pele clara|peso|pessoa levantando peso|pessoa levantando peso: pele clara
	🏋🏼;pessoa levantando peso: pele morena clara;esporte|força|pele morena clara|peso|pessoa levantando peso|pessoa levantando peso: pele morena clara
	🏋🏽;pessoa levantando peso: pele morena;esporte|força|pele morena|peso|pessoa levantando peso|pessoa levantando peso: pele morena
	🏋🏾;pessoa levantando peso: pele morena escura;esporte|força|pele morena escura|peso|pessoa levantando peso|pessoa levantando peso: pele morena escura
	🏋🏿;pessoa levantando peso: pele escura;esporte|força|pele escura|peso|pessoa levantando peso|pessoa levantando peso: pele escura
🏋️‍♂️;homem levantando peso;esporte|força|homem|homem levantando peso|peso
	🏋🏻‍♂️;homem levantando peso: pele clara;esporte|força|homem|homem levantando peso|homem levantando peso: pele clara|pele clara|peso
	🏋🏼‍♂️;homem levantando peso: pele morena clara;esporte|força|homem|homem levantando peso|homem levantando peso: pele morena clara|pele morena clara|peso
	🏋🏽‍♂️;homem levantando peso: pele morena;esporte|força|homem|homem levantando peso|homem levantando peso: pele morena|pele morena|peso
	🏋🏾‍♂️;homem levantando peso: pele morena escura;esporte|força|homem|homem levantando peso|homem levantando peso: pele morena escura|pele morena escura|peso
	🏋🏿‍♂️;homem levantando peso: pele escura;esporte|força|homem|homem levantando peso|homem levantando peso: pele escura|pele escura|peso
🏋️‍♀️;mulher levantando peso;esporte|força|mulher|mulher levantando peso|peso
	🏋🏻‍♀️;mulher levantando peso: pele clara;esporte|força|mulher|mulher levantando peso|mulher levantando peso: pele clara|pele clara|peso
	🏋🏼‍♀️;mulher levantando peso: pele morena clara;esporte|força|mulher|mulher levantando peso|mulher levantando peso: pele morena clara|pele morena clara|peso
	🏋🏽‍♀️;mulher levantando peso: pele morena;esporte|força|mulher|mulher levantando peso|mulher levantando peso: pele morena|pele morena|peso
